actions,ground_truths,board_numbers,image_numbers
right,down,140,0
right,right,140,1
up,right,140,2
left,right,140,3
left,right,140,4
right,right,140,5
grip,right,140,6
grip,right,140,7
left,grip,140,8
up,down,141,0
up,right,141,1
left,right,141,2
grip,right,141,3
left,right,141,4
up,right,141,5
up,right,141,6
right,right,141,7
down,grip,141,8
down,down,142,0
left,down,142,1
left,right,142,10
right,right,142,11
down,grip,142,12
grip,down,142,2
left,down,142,3
down,down,142,4
left,right,142,5
right,right,142,6
down,right,142,7
right,right,142,8
up,right,142,9
up,down,143,0
down,down,143,1
down,right,143,10
right,right,143,11
up,grip,143,12
left,down,143,2
grip,down,143,3
up,down,143,4
left,right,143,5
right,right,143,6
left,right,143,7
grip,right,143,8
right,right,143,9
left,up,144,0
up,up,144,1
up,left,144,10
down,left,144,11
right,grip,144,12
right,up,144,2
up,up,144,3
down,up,144,4
up,up,144,5
up,up,144,6
grip,up,144,7
down,up,144,8
right,left,144,9
grip,up,145,0
left,up,145,1
left,left,145,10
down,left,145,11
left,left,145,12
down,left,145,13
up,grip,145,14
down,up,145,2
right,up,145,3
up,left,145,4
grip,left,145,5
down,left,145,6
right,left,145,7
grip,left,145,8
grip,left,145,9
down,left,146,0
up,left,146,1
up,left,146,2
up,left,146,3
left,grip,146,4
left,left,147,0
down,left,147,1
left,grip,147,10
grip,left,147,2
grip,left,147,3
right,left,147,4
grip,left,147,5
up,left,147,6
grip,left,147,7
left,left,147,8
left,left,147,9
grip,down,148,0
down,down,148,1
grip,left,148,2
down,left,148,3
right,left,148,4
up,left,148,5
down,left,148,6
up,left,148,7
up,grip,148,8
grip,down,149,0
right,down,149,1
left,left,149,2
grip,left,149,3
down,left,149,4
right,grip,149,5
grip,down,15,0
up,down,15,1
left,right,15,10
grip,right,15,11
up,grip,15,12
grip,down,15,2
grip,down,15,3
down,down,15,4
right,right,15,5
up,right,15,6
right,right,15,7
up,right,15,8
right,right,15,9
up,up,150,0
grip,up,150,1
grip,up,150,2
left,up,150,3
right,up,150,4
grip,up,150,5
left,up,150,6
left,up,150,7
up,left,150,8
down,grip,150,9
up,up,151,0
grip,up,151,1
right,up,151,2
right,up,151,3
left,up,151,4
right,left,151,5
right,grip,151,6
grip,down,152,0
down,down,152,1
grip,down,152,2
left,down,152,3
right,down,152,4
down,down,152,5
left,left,152,6
right,grip,152,7
grip,down,153,0
left,down,153,1
down,down,153,2
right,down,153,3
grip,down,153,4
up,down,153,5
right,left,153,6
right,grip,153,7
right,up,154,0
right,up,154,1
up,right,154,10
up,right,154,11
grip,right,154,12
down,grip,154,13
grip,up,154,2
down,up,154,3
grip,up,154,4
right,up,154,5
grip,up,154,6
grip,up,154,7
down,right,154,8
up,right,154,9
down,up,155,0
down,up,155,1
up,grip,155,10
down,up,155,2
down,up,155,3
down,up,155,4
left,up,155,5
down,up,155,6
right,right,155,7
grip,right,155,8
grip,right,155,9
left,up,156,0
down,right,156,1
grip,right,156,2
left,right,156,3
grip,grip,156,4
grip,up,157,0
down,right,157,1
left,right,157,2
right,right,157,3
grip,right,157,4
up,right,157,5
up,grip,157,6
down,down,158,0
down,down,158,1
down,down,158,2
right,down,158,3
left,right,158,4
right,right,158,5
down,right,158,6
right,right,158,7
right,right,158,8
grip,grip,158,9
down,down,159,0
down,down,159,1
right,down,159,2
up,down,159,3
up,down,159,4
grip,right,159,5
down,right,159,6
down,right,159,7
down,right,159,8
up,grip,159,9
right,up,16,0
down,up,16,1
right,left,16,10
right,left,16,11
up,left,16,12
down,left,16,13
down,left,16,14
right,grip,16,15
down,up,16,2
right,up,16,3
up,up,16,4
left,up,16,5
down,up,16,6
up,up,16,7
grip,up,16,8
down,up,16,9
left,up,160,0
right,up,160,1
right,left,160,10
right,left,160,11
down,left,160,12
up,left,160,13
grip,grip,160,14
down,up,160,2
right,up,160,3
up,up,160,4
up,up,160,5
left,up,160,6
up,up,160,7
down,left,160,8
up,left,160,9
right,up,161,0
left,up,161,1
down,left,161,10
down,left,161,11
left,left,161,12
down,left,161,13
left,grip,161,14
up,up,161,2
right,up,161,3
grip,up,161,4
grip,up,161,5
down,up,161,6
down,up,161,7
left,up,161,8
down,up,161,9
grip,left,162,0
down,left,162,1
left,grip,162,2
up,up,163,0
right,left,163,1
grip,left,163,2
up,left,163,3
grip,left,163,4
grip,left,163,5
up,left,163,6
up,grip,163,7
grip,down,164,0
down,down,164,1
right,left,164,10
right,left,164,11
grip,left,164,12
down,left,164,13
down,left,164,14
left,grip,164,15
left,down,164,2
left,down,164,3
left,down,164,4
up,down,164,5
down,left,164,6
grip,left,164,7
right,left,164,8
left,left,164,9
grip,down,165,0
up,down,165,1
left,left,165,10
down,left,165,11
up,left,165,12
down,left,165,13
right,grip,165,14
down,down,165,2
down,down,165,3
up,down,165,4
grip,left,165,5
down,left,165,6
grip,left,165,7
grip,left,165,8
left,left,165,9
grip,up,166,0
up,up,166,1
right,up,166,2
up,up,166,3
grip,right,166,4
grip,right,166,5
down,grip,166,6
grip,up,167,0
left,up,167,1
grip,up,167,2
left,up,167,3
up,right,167,4
right,right,167,5
left,grip,167,6
up,down,168,0
grip,down,168,1
down,down,168,2
grip,down,168,3
grip,down,168,4
up,down,168,5
left,right,168,6
right,right,168,7
up,grip,168,8
left,down,169,0
right,down,169,1
left,down,169,2
left,down,169,3
down,right,169,4
down,grip,169,5
down,up,17,0
right,up,17,1
down,grip,17,10
down,up,17,2
up,up,17,3
down,up,17,4
down,up,17,5
up,up,17,6
left,up,17,7
down,left,17,8
left,left,17,9
grip,up,170,0
down,up,170,1
right,grip,170,10
up,up,170,2
up,up,170,3
up,right,170,4
left,right,170,5
left,right,170,6
up,right,170,7
down,right,170,8
right,right,170,9
left,up,171,0
right,up,171,1
up,right,171,2
down,right,171,3
down,right,171,4
up,right,171,5
up,right,171,6
left,right,171,7
left,right,171,8
up,grip,171,9
left,down,172,0
right,right,172,1
left,right,172,2
down,right,172,3
down,right,172,4
up,right,172,5
grip,right,172,6
up,right,172,7
right,right,172,8
down,grip,172,9
down,right,173,0
left,right,173,1
right,right,173,2
up,right,173,3
right,grip,173,4
down,down,174,0
grip,down,174,1
down,right,174,10
right,right,174,11
up,right,174,12
left,grip,174,13
up,down,174,2
left,down,174,3
up,down,174,4
down,down,174,5
down,down,174,6
grip,right,174,7
left,right,174,8
up,right,174,9
up,down,175,0
left,down,175,1
left,down,175,2
grip,down,175,3
up,down,175,4
down,down,175,5
right,right,175,6
left,right,175,7
left,right,175,8
down,grip,175,9
down,up,176,0
down,up,176,1
down,left,176,10
down,left,176,11
left,left,176,12
down,left,176,13
down,left,176,14
grip,left,176,15
down,grip,176,16
up,up,176,2
down,up,176,3
grip,up,176,4
left,up,176,5
left,up,176,6
grip,up,176,7
down,up,176,8
grip,left,176,9
left,up,177,0
grip,up,177,1
down,left,177,10
left,left,177,11
right,grip,177,12
left,up,177,2
grip,up,177,3
grip,up,177,4
right,up,177,5
down,up,177,6
left,up,177,7
left,left,177,8
down,left,177,9
down,down,178,0
down,left,178,1
left,left,178,2
grip,left,178,3
right,left,178,4
right,left,178,5
up,left,178,6
left,grip,178,7
up,down,179,0
up,left,179,1
down,left,179,2
down,left,179,3
left,grip,179,4
down,up,18,0
grip,left,18,1
grip,left,18,2
right,left,18,3
up,left,18,4
left,left,18,5
down,left,18,6
grip,grip,18,7
left,down,180,0
down,down,180,1
grip,down,180,2
down,left,180,3
down,left,180,4
down,left,180,5
left,left,180,6
down,left,180,7
grip,grip,180,8
up,down,181,0
down,down,181,1
down,down,181,2
down,left,181,3
up,left,181,4
up,left,181,5
right,grip,181,6
grip,up,182,0
right,up,182,1
grip,up,182,2
down,up,182,3
grip,up,182,4
right,up,182,5
down,left,182,6
up,grip,182,7
up,up,183,0
down,up,183,1
left,up,183,2
left,up,183,3
up,up,183,4
up,up,183,5
down,up,183,6
up,up,183,7
right,up,183,8
left,grip,183,9
grip,down,184,0
left,down,184,1
up,down,184,2
right,down,184,3
up,down,184,4
right,grip,184,5
up,down,185,0
down,down,185,1
up,down,185,2
right,down,185,3
down,down,185,4
grip,grip,185,5
down,up,186,0
down,up,186,1
right,grip,186,10
left,up,186,2
down,up,186,3
left,up,186,4
grip,up,186,5
down,right,186,6
up,right,186,7
up,right,186,8
up,right,186,9
left,up,187,0
grip,up,187,1
down,right,187,10
up,right,187,11
left,grip,187,12
down,up,187,2
left,up,187,3
up,up,187,4
up,up,187,5
down,up,187,6
down,up,187,7
down,right,187,8
right,right,187,9
up,right,188,0
grip,right,188,1
grip,right,188,2
up,right,188,3
grip,grip,188,4
left,down,189,0
right,right,189,1
down,right,189,2
left,grip,189,3
up,down,19,0
right,left,19,1
grip,left,19,2
down,left,19,3
grip,left,19,4
down,left,19,5
left,left,19,6
grip,left,19,7
up,left,19,8
up,grip,19,9
up,down,190,0
down,down,190,1
right,grip,190,10
down,down,190,2
up,right,190,3
left,right,190,4
up,right,190,5
up,right,190,6
up,right,190,7
left,right,190,8
grip,right,190,9
up,down,191,0
grip,down,191,1
grip,right,191,10
right,right,191,11
right,grip,191,12
up,down,191,2
grip,down,191,3
left,down,191,4
left,right,191,5
down,right,191,6
grip,right,191,7
left,right,191,8
left,right,191,9
left,up,192,0
up,up,192,1
left,left,192,10
right,left,192,11
grip,left,192,12
grip,left,192,13
grip,left,192,14
grip,left,192,15
left,left,192,16
right,grip,192,17
down,up,192,2
grip,up,192,3
up,up,192,4
right,up,192,5
right,up,192,6
up,up,192,7
down,left,192,8
grip,left,192,9
grip,up,193,0
left,up,193,1
up,left,193,10
up,left,193,11
grip,grip,193,12
grip,up,193,2
up,up,193,3
up,up,193,4
grip,up,193,5
grip,left,193,6
up,left,193,7
grip,left,193,8
down,left,193,9
up,up,194,0
up,left,194,1
up,left,194,2
left,left,194,3
left,left,194,4
down,left,194,5
down,left,194,6
down,grip,194,7
grip,left,195,0
right,left,195,1
grip,left,195,2
grip,left,195,3
left,left,195,4
right,left,195,5
right,left,195,6
grip,left,195,7
down,left,195,8
grip,grip,195,9
left,down,196,0
grip,down,196,1
right,down,196,2
grip,down,196,3
left,down,196,4
up,left,196,5
grip,left,196,6
down,grip,196,7
left,down,197,0
down,down,197,1
right,down,197,2
down,left,197,3
up,left,197,4
right,left,197,5
up,left,197,6
grip,grip,197,7
up,up,198,0
up,up,198,1
right,right,198,10
grip,grip,198,11
up,up,198,2
grip,up,198,3
right,up,198,4
right,up,198,5
left,up,198,6
right,up,198,7
grip,up,198,8
down,right,198,9
left,up,199,0
grip,up,199,1
up,up,199,2
left,up,199,3
grip,up,199,4
down,up,199,5
left,up,199,6
right,right,199,7
right,right,199,8
left,grip,199,9
down,left,2,0
left,left,2,1
down,left,2,2
right,left,2,3
grip,left,2,4
up,left,2,5
down,left,2,6
grip,grip,2,7
down,down,20,0
grip,down,20,1
up,down,20,2
left,down,20,3
grip,down,20,4
right,left,20,5
down,left,20,6
right,grip,20,7
right,down,200,0
left,down,200,1
left,down,200,2
down,down,200,3
right,down,200,4
up,right,200,5
up,grip,200,6
right,down,201,0
right,down,201,1
grip,right,201,2
grip,grip,201,3
right,up,202,0
up,up,202,1
left,right,202,10
up,right,202,11
grip,right,202,12
down,grip,202,13
grip,up,202,2
grip,up,202,3
grip,up,202,4
up,up,202,5
grip,up,202,6
right,up,202,7
left,up,202,8
up,up,202,9
down,up,203,0
left,up,203,1
up,right,203,10
left,grip,203,11
down,up,203,2
up,up,203,3
left,up,203,4
left,up,203,5
left,right,203,6
grip,right,203,7
up,right,203,8
left,right,203,9
grip,up,204,0
up,right,204,1
up,right,204,2
up,right,204,3
down,grip,204,4
right,down,205,0
grip,right,205,1
down,right,205,2
right,right,205,3
right,right,205,4
right,grip,205,5
up,down,206,0
right,down,206,1
up,grip,206,10
left,down,206,2
grip,down,206,3
up,right,206,4
right,right,206,5
right,right,206,6
grip,right,206,7
grip,right,206,8
right,right,206,9
down,down,207,0
down,down,207,1
grip,right,207,10
down,right,207,11
right,grip,207,12
down,down,207,2
up,down,207,3
grip,down,207,4
left,right,207,5
down,right,207,6
up,right,207,7
up,right,207,8
down,right,207,9
up,up,208,0
down,up,208,1
up,left,208,10
down,left,208,11
up,left,208,12
left,left,208,13
right,left,208,14
up,grip,208,15
right,up,208,2
up,up,208,3
grip,up,208,4
down,up,208,5
grip,up,208,6
up,up,208,7
grip,up,208,8
left,up,208,9
down,up,209,0
right,up,209,1
left,grip,209,10
grip,up,209,2
grip,up,209,3
right,up,209,4
left,up,209,5
left,up,209,6
grip,up,209,7
up,left,209,8
down,left,209,9
grip,down,21,0
left,down,21,1
right,grip,21,10
left,down,21,2
down,down,21,3
grip,down,21,4
grip,left,21,5
right,left,21,6
grip,left,21,7
up,left,21,8
left,left,21,9
up,left,210,0
down,left,210,1
grip,left,210,2
grip,left,210,3
left,left,210,4
down,left,210,5
down,left,210,6
left,left,210,7
grip,grip,210,8
up,down,211,0
up,left,211,1
down,left,211,10
up,grip,211,11
grip,left,211,2
left,left,211,3
left,left,211,4
left,left,211,5
right,left,211,6
right,left,211,7
grip,left,211,8
right,left,211,9
grip,down,212,0
left,down,212,1
right,left,212,10
grip,left,212,11
left,left,212,12
up,left,212,13
down,grip,212,14
right,down,212,2
down,down,212,3
down,down,212,4
right,down,212,5
up,left,212,6
down,left,212,7
down,left,212,8
down,left,212,9
down,down,213,0
down,down,213,1
right,down,213,2
grip,down,213,3
right,left,213,4
up,left,213,5
down,grip,213,6
left,up,214,0
left,up,214,1
grip,grip,214,10
down,up,214,2
right,up,214,3
up,up,214,4
left,up,214,5
left,up,214,6
down,up,214,7
down,up,214,8
left,up,214,9
left,up,215,0
grip,up,215,1
right,up,215,2
left,up,215,3
grip,right,215,4
up,grip,215,5
down,down,216,0
grip,down,216,1
up,down,216,2
up,left,216,3
down,grip,216,4
grip,down,217,0
down,down,217,1
down,down,217,2
grip,right,217,3
right,grip,217,4
down,up,218,0
down,up,218,1
down,up,218,2
down,up,218,3
grip,right,218,4
up,right,218,5
left,grip,218,6
grip,up,219,0
left,up,219,1
right,grip,219,10
grip,up,219,2
grip,up,219,3
down,up,219,4
grip,up,219,5
up,right,219,6
down,right,219,7
down,right,219,8
down,right,219,9
down,up,22,0
up,up,22,1
grip,up,22,2
right,up,22,3
right,up,22,4
right,up,22,5
down,up,22,6
up,left,22,7
right,grip,22,8
left,up,220,0
down,right,220,1
left,right,220,2
up,right,220,3
grip,right,220,4
grip,right,220,5
down,grip,220,6
grip,down,221,0
right,right,221,1
left,right,221,2
right,grip,221,3
left,down,222,0
right,down,222,1
down,right,222,2
up,right,222,3
down,right,222,4
left,right,222,5
left,right,222,6
right,right,222,7
down,grip,222,8
right,down,223,0
grip,down,223,1
down,down,223,2
down,right,223,3
left,right,223,4
up,right,223,5
left,grip,223,6
down,up,224,0
left,up,224,1
grip,left,224,2
right,left,224,3
left,left,224,4
up,left,224,5
down,left,224,6
up,grip,224,7
left,up,225,0
up,up,225,1
up,left,225,10
left,left,225,11
right,left,225,12
up,left,225,13
right,left,225,14
down,grip,225,15
right,up,225,2
up,up,225,3
up,up,225,4
left,up,225,5
right,up,225,6
right,up,225,7
left,up,225,8
left,up,225,9
right,down,226,0
up,left,226,1
down,left,226,2
up,left,226,3
up,left,226,4
grip,left,226,5
right,grip,226,6
up,left,227,0
grip,left,227,1
right,left,227,2
down,left,227,3
left,left,227,4
down,left,227,5
right,left,227,6
up,grip,227,7
left,down,228,0
up,down,228,1
up,left,228,10
grip,left,228,11
left,left,228,12
grip,left,228,13
grip,left,228,14
down,grip,228,15
grip,down,228,2
up,down,228,3
down,down,228,4
down,down,228,5
left,down,228,6
grip,left,228,7
left,left,228,8
right,left,228,9
right,down,229,0
down,down,229,1
right,left,229,10
right,left,229,11
up,grip,229,12
up,down,229,2
right,down,229,3
up,down,229,4
left,down,229,5
grip,left,229,6
up,left,229,7
right,left,229,8
left,left,229,9
right,up,23,0
grip,up,23,1
down,up,23,2
left,up,23,3
right,up,23,4
down,right,23,5
up,grip,23,6
up,up,230,0
up,up,230,1
up,up,230,2
down,up,230,3
right,up,230,4
left,up,230,5
down,left,230,6
grip,grip,230,7
grip,up,231,0
down,up,231,1
down,up,231,2
right,up,231,3
up,up,231,4
down,up,231,5
right,right,231,6
left,grip,231,7
left,down,232,0
left,down,232,1
grip,down,232,2
grip,down,232,3
up,down,232,4
down,grip,232,5
down,down,233,0
down,down,233,1
grip,down,233,2
up,down,233,3
left,down,233,4
right,down,233,5
up,down,233,6
up,grip,233,7
grip,up,234,0
up,up,234,1
up,right,234,10
grip,right,234,11
right,right,234,12
down,grip,234,13
down,up,234,2
grip,up,234,3
grip,up,234,4
grip,up,234,5
right,up,234,6
down,up,234,7
grip,right,234,8
up,right,234,9
left,up,235,0
right,up,235,1
left,right,235,10
up,right,235,11
right,right,235,12
grip,right,235,13
right,right,235,14
down,grip,235,15
down,up,235,2
down,up,235,3
down,up,235,4
right,up,235,5
grip,up,235,6
right,up,235,7
left,up,235,8
right,right,235,9
left,down,236,0
grip,right,236,1
grip,right,236,2
up,right,236,3
left,grip,236,4
down,down,237,0
up,right,237,1
right,right,237,2
grip,right,237,3
down,right,237,4
grip,right,237,5
down,right,237,6
left,grip,237,7
right,down,238,0
grip,down,238,1
right,down,238,2
up,right,238,3
left,right,238,4
right,right,238,5
left,right,238,6
right,right,238,7
right,right,238,8
left,grip,238,9
up,down,239,0
down,down,239,1
left,grip,239,10
grip,down,239,2
left,down,239,3
right,down,239,4
down,down,239,5
left,right,239,6
grip,right,239,7
right,right,239,8
left,right,239,9
down,down,24,0
down,down,24,1
right,right,24,2
right,grip,24,3
right,up,240,0
up,up,240,1
left,grip,240,10
down,up,240,2
left,up,240,3
grip,up,240,4
down,up,240,5
right,up,240,6
down,up,240,7
left,left,240,8
left,left,240,9
grip,up,241,0
left,up,241,1
grip,left,241,10
right,left,241,11
left,grip,241,12
grip,up,241,2
right,up,241,3
up,up,241,4
up,left,241,5
right,left,241,6
up,left,241,7
grip,left,241,8
up,left,241,9
right,left,242,0
grip,left,242,1
up,grip,242,10
left,left,242,2
up,left,242,3
grip,left,242,4
down,left,242,5
right,left,242,6
right,left,242,7
up,left,242,8
down,left,242,9
right,left,243,0
right,left,243,1
grip,left,243,2
right,left,243,3
left,grip,243,4
right,down,244,0
grip,down,244,1
down,down,244,2
grip,down,244,3
right,down,244,4
grip,left,244,5
left,left,244,6
left,grip,244,7
grip,down,245,0
up,down,245,1
up,left,245,10
left,left,245,11
up,left,245,12
right,grip,245,13
down,down,245,2
right,down,245,3
down,down,245,4
up,down,245,5
left,left,245,6
left,left,245,7
down,left,245,8
up,left,245,9
left,up,246,0
left,up,246,1
up,up,246,2
up,up,246,3
grip,up,246,4
right,up,246,5
grip,left,246,6
left,grip,246,7
up,up,247,0
left,up,247,1
grip,up,247,2
down,up,247,3
up,left,247,4
grip,grip,247,5
right,down,248,0
down,down,248,1
down,down,248,2
grip,right,248,3
grip,grip,248,4
down,down,249,0
down,down,249,1
right,down,249,2
grip,grip,249,3
right,down,25,0
up,down,25,1
left,down,25,2
right,right,25,3
right,grip,25,4
left,up,250,0
down,up,250,1
left,grip,250,10
left,up,250,2
down,up,250,3
grip,up,250,4
down,up,250,5
left,right,250,6
down,right,250,7
up,right,250,8
down,right,250,9
grip,up,251,0
grip,up,251,1
down,right,251,2
up,right,251,3
grip,right,251,4
left,right,251,5
up,right,251,6
grip,right,251,7
grip,grip,251,8
right,right,252,0
grip,right,252,1
up,right,252,2
left,right,252,3
grip,right,252,4
right,right,252,5
down,right,252,6
down,grip,252,7
down,up,253,0
grip,right,253,1
down,right,253,2
grip,right,253,3
right,right,253,4
down,right,253,5
right,grip,253,6
left,down,254,0
grip,down,254,1
down,right,254,2
grip,right,254,3
grip,right,254,4
grip,right,254,5
grip,grip,254,6
grip,down,255,0
grip,down,255,1
left,right,255,10
up,grip,255,11
down,down,255,2
left,down,255,3
left,right,255,4
right,right,255,5
grip,right,255,6
grip,right,255,7
